DateTime,Date,Volume,Transaction,Value,Open,High,Low,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,Close
2018-12-04,20181204,41947162,12545,9791147799,233.0,234.5,231.0,-,1.0,33128980.0,33005632.0,123348.0,940000,339000,601000,-1171000,210000.0,1381000.0,-446652,17.31,3.85,3.42,234.0
2018-12-05,20181205,45634576,15703,10316394736,226.5,227.5,225.0,-,8.0,26468172.0,35042235.0,-8574063.0,0,414000,-414000,-132000,1030000.0,1162000.0,-9120063,16.72,3.72,3.54,226.0
2018-12-06,20181206,40181112,15702,8853295746,220.0,222.0,219.5,-,6.0,18843272.0,31158932.0,-12315660.0,136000,62000,74000,-1167000,659000.0,1826000.0,-13408660,16.27,3.62,3.64,220.0
2018-12-07,20181207,31997568,8315,7097739916,222.5,223.5,220.5,+,1.0,23465359.0,26765881.0,-3300522.0,48000,58000,-10000,1721000,2081000.0,360000.0,-1589522,16.35,3.64,3.62,221.0
2018-12-10,20181210,26229461,8650,5744814170,219.5,220.0,218.5,-,2.0,17652725.0,22200136.0,-4547411.0,9239,207000,-197761,-180000,169000.0,349000.0,-4925172,16.2,3.6,3.65,219.0
2018-12-11,20181211,27395220,8509,6067551383,220.0,223.0,219.0,+,3.5,20764290.0,20500229.0,264061.0,73000,53000,20000,-197000,205000.0,402000.0,87061,16.46,3.66,3.6,222.5
2018-12-12,20181212,32926379,9117,7418108779,223.5,227.0,222.5,+,4.0,23268992.0,25103693.0,-1834701.0,10000,101000,-91000,397000,1182000.0,785000.0,-1528701,16.75,3.73,3.53,226.5
2018-12-13,20181213,32433141,8635,7345479366,227.0,227.5,225.0,-,0.5,21332076.0,23115450.0,-1783374.0,667000,23000,644000,486000,790000.0,304000.0,-653374,16.72,3.72,3.54,226.0
2018-12-14,20181214,43226159,10454,9570070114,223.0,223.5,220.5,-,3.5,27981489.0,35293905.0,-7312416.0,72000,50000,22000,-1165000,322000.0,1487000.0,-8455416,16.46,3.66,3.6,222.5
2018-12-17,20181217,18964952,6449,4229977248,221.0,225.0,220.0,+,1.0,15737140.0,12722312.0,3014828.0,0,35000,-35000,-11000,265000.0,276000.0,2968828,16.53,3.68,3.58,223.5
