DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet
2015-12-24,13495,4914,143.0,143.5,142.0,142.0,+,0.5,11284,6842,4441,10,252,-242,-370,463,833,3829
2015-12-25,6168,1797,142.0,143.5,142.0,143.0,+,1.0,5370,2526,2844,38,61,-23,-48,129,177,2773
2015-12-28,10831,4191,143.5,144.0,143.0,143.5,+,0.5,8675,4484,4191,253,62,191,245,596,351,4627
2015-12-29,12968,6037,143.5,144.0,141.5,142.0,-,1.5,8029,8961,-932,154,260,-106,898,1113,215,-140
2015-12-30,14713,4651,142.5,144.0,142.0,142.5,+,0.5,10851,10342,509,240,168,72,83,570,487,665
2015-12-31,18677,4188,142.0,144.0,141.0,143.0,+,0.5,13245,11839,1405,1126,180,946,-34,371,405,2316
2016-01-04,43800,14188,142.5,143.5,139.0,139.5,-,3.5,17380,37919,-20539,959,553,406,1657,2108,451,-18476
2016-01-05,46502,15836,139.0,140.0,137.0,138.0,-,1.5,19885,25850,-5964,118,438,-320,1082,1789,707,-5202
2016-01-06,53873,15926,138.0,138.0,135.0,135.5,-,2.5,20734,36825,-16091,52,607,-555,43,985,942,-16603
2016-01-07,63475,19061,134.5,135.0,130.5,133.0,-,2.5,25788,43744,-17956,5,851,-846,2059,3903,1844,-16743
2016-01-08,52641,11784,132.0,135.0,132.0,134.0,+,1.0,40046,41026,-980,139,258,-119,-198,2052,2250,-1297
2016-01-11,48536,10980,133.0,134.5,130.5,133.0,-,1.0,35535,38794,-3258,109,327,-218,-1519,1599,3118,-4995
2016-01-12,35133,9492,133.0,134.0,131.5,133.0, ,0.0,20320,27791,-7471,56,9,47,-390,1632,2022,-7814
2016-01-13,50237,9488,133.5,135.5,133.0,133.5,+,0.5,41387,34786,6601,94,531,-437,-1831,632,2463,4333
2016-01-14,39498,14501,130.5,132.0,130.5,131.5,-,2.0,21530,25666,-4135,0,200,-200,-778,1143,1921,-5113
2016-01-15,79648,20280,137.5,138.0,135.5,137.0,+,5.5,61989,37200,24789,2162,365,1797,-1612,2176,3788,24974
2016-01-18,37008,11947,135.0,138.0,134.5,137.0, ,0.0,27082,27259,-176,2162,194,1968,930,1269,339,2721
2016-01-19,24995,8146,137.5,138.0,136.0,138.0,+,1.0,16008,15625,383,319,190,129,258,1129,871,770
2016-01-20,44423,13799,137.5,137.5,133.5,134.5,-,3.5,28751,32804,-4052,525,350,175,-912,2236,3148,-4789
2016-01-21,31957,9956,134.0,136.5,134.0,135.0,+,0.5,24203,23722,481,318,292,26,-1554,1213,2767,-1046
2016-01-22,33926,12684,136.5,138.5,136.0,138.5,+,3.5,28518,17966,10551,307,0,307,-1709,604,2313,9149
2016-01-25,27213,9105,140.0,140.0,139.0,139.5,+,1.0,22272,15120,7151,93,707,-614,224,904,679,6762
2016-01-26,24102,6584,137.5,139.0,137.0,137.5,-,2.0,16131,18724,-2592,741,0,741,269,872,602,-1582
2016-01-27,24547,8368,139.0,139.5,138.5,139.5,+,2.0,20707,16477,4229,257,50,207,-1240,66,1306,3196
2016-01-28,37913,9746,138.0,140.5,138.0,140.0,+,0.5,30654,19920,10733,410,918,-508,428,1770,1342,10653
2016-01-29,57557,14517,138.5,143.0,138.0,143.0,+,3.0,51040,31185,19855,51,327,-276,596,1760,1164,20175
2016-01-30,11865,6143,142.5,143.0,141.0,142.0,-,1.0,4913,679,4234,215,182,33,1438,1554,116,5705
2016-02-01,43828,12189,144.0,144.0,141.5,144.0,+,2.0,40191,12998,27192,29,0,29,-768,767,1535,26453
