DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,ForeignVol,TrustVol,DealerVol,InvestorsVol,Pattern,Trend,InvestorsNet_Dir,ForeignNet_Dir,TrustNet_Dir,DealerNet_Dir,Dir2
2017-10-16,20673,6764,237.5,238.0,236.0,238.0,+,0.5,16343,14165,2177,222,345,-123,375,432,57,2429,17.59,4.6,2.94,30508,567,489,31564,0,0,1,1,0,1,1
2017-10-17,17652,6336,238.0,238.0,235.0,235.5,-,2.5,11397,14279,-2882,124,319,-195,767,800,33,-2310,17.41,4.55,2.97,25676,443,833,26952,0,0,0,0,0,1,2
2017-10-18,28970,10330,239.5,239.5,237.0,237.5,+,2.0,22730,18125,4604,41,324,-283,1993,2429,436,6314,17.55,4.59,2.95,40856,365,2865,44086,0,0,1,1,0,1,1
2017-10-19,23481,9033,239.5,241.5,239.0,239.0,+,1.5,16712,12206,4506,36,479,-443,128,723,595,4191,17.66,4.62,2.93,28918,515,1318,30751,0,0,1,1,0,1,1
2017-10-20,27056,7206,238.0,239.5,237.5,237.5,-,1.5,18390,17553,837,295,128,167,415,796,381,1419,17.55,4.59,2.95,35944,423,1177,37544,0,0,1,1,1,1,2
2017-10-23,15959,6686,239.0,240.0,238.5,239.0,+,1.5,10685,8974,1711,1970,49,1921,-288,113,401,3344,17.66,4.62,2.93,19659,2019,514,22192,0,0,1,1,1,0,1
2017-10-24,16100,6034,240.0,240.0,238.0,238.0,-,1.0,12496,13073,-577,124,374,-250,-90,88,178,-917,17.59,4.6,2.94,25569,498,266,26333,0,0,0,0,0,0,2
2017-10-25,17205,5808,238.5,239.0,237.5,238.0, ,0.0,12723,11283,1439,336,86,250,-76,11,87,1613,17.59,4.6,2.94,24007,422,98,24527,0,0,1,1,1,0,0
2017-10-26,12959,4947,237.0,238.0,236.0,236.0,-,2.0,8029,10129,-2100,0,34,-34,-87,125,212,-2221,17.44,4.56,2.97,18159,34,337,18530,0,0,0,0,0,0,2
2017-10-27,18040,5715,237.5,240.0,237.5,239.0,+,3.0,14146,7854,6291,820,58,762,-426,204,630,6627,17.66,4.62,2.93,22001,878,834,23713,0,0,1,1,1,0,1
